Neighbor list in replicated POSCAR file
Nearest neighbor distance: 1.926
Neighbor distances: (angstrom), number of neighbors
1st nearest neighbor distance: 1.926, number of neighbors: 464
2nd nearest neighbor distance: 2.553, number of neighbors: 152
3rd nearest neighbor distance: 2.614, number of neighbors: 364
4th nearest neighbor distance: 2.757, number of neighbors: 252
5th nearest neighbor distance: 2.763, number of neighbors: 416
6th nearest neighbor distance: 3.253, number of neighbors: 330
7th nearest neighbor distance: 3.451, number of neighbors: 182
8th nearest neighbor distance: 3.610, number of neighbors: 404
9th nearest neighbor distance: 3.654, number of neighbors: 126
10th nearest neighbor distance: 3.850, number of neighbors: 364
11th nearest neighbor distance: 4.178, number of neighbors: 224
12th nearest neighbor distance: 4.310, number of neighbors: 332
13th nearest neighbor distance: 4.318, number of neighbors: 288
14th nearest neighbor distance: 4.462, number of neighbors: 286
15th nearest neighbor distance: 4.620, number of neighbors: 252
16th nearest neighbor distance: 4.658, number of neighbors: 532
17th nearest neighbor distance: 4.662, number of neighbors: 576
18th nearest neighbor distance: 5.017, number of neighbors: 228
19th nearest neighbor distance: 5.127, number of neighbors: 624
20th nearest neighbor distance: 5.175, number of neighbors: 196
21th nearest neighbor distance: 5.282, number of neighbors: 284
22th nearest neighbor distance: 5.315, number of neighbors: 176
23th nearest neighbor distance: 5.522, number of neighbors: 152
24th nearest neighbor distance: 5.629, number of neighbors: 340
25th nearest neighbor distance: 5.685, number of neighbors: 208
26th nearest neighbor distance: 5.782, number of neighbors: 224
27th nearest neighbor distance: 5.800, number of neighbors: 84
28th nearest neighbor distance: 5.953, number of neighbors: 308
29th nearest neighbor distance: 6.109, number of neighbors: 252
30th nearest neighbor distance: 6.209, number of neighbors: 242
31th nearest neighbor distance: 6.349, number of neighbors: 210
32th nearest neighbor distance: 6.355, number of neighbors: 864
33th nearest neighbor distance: 6.453, number of neighbors: 184
34th nearest neighbor distance: 6.505, number of neighbors: 140
35th nearest neighbor distance: 6.539, number of neighbors: 196
36th nearest neighbor distance: 6.643, number of neighbors: 260
37th nearest neighbor distance: 6.700, number of neighbors: 180
38th nearest neighbor distance: 6.732, number of neighbors: 126
39th nearest neighbor distance: 6.740, number of neighbors: 164
40th nearest neighbor distance: 6.787, number of neighbors: 120
41th nearest neighbor distance: 6.822, number of neighbors: 244
42th nearest neighbor distance: 6.848, number of neighbors: 264
43th nearest neighbor distance: 6.869, number of neighbors: 136
44th nearest neighbor distance: 6.988, number of neighbors: 84
45th nearest neighbor distance: 6.990, number of neighbors: 96
46th nearest neighbor distance: 7.010, number of neighbors: 228
47th nearest neighbor distance: 7.014, number of neighbors: 130
48th nearest neighbor distance: 7.045, number of neighbors: 182
49th nearest neighbor distance: 7.117, number of neighbors: 90
50th nearest neighbor distance: 7.149, number of neighbors: 160
51th nearest neighbor distance: 7.171, number of neighbors: 308
52th nearest neighbor distance: 7.219, number of neighbors: 260
53th nearest neighbor distance: 7.227, number of neighbors: 176
54th nearest neighbor distance: 7.441, number of neighbors: 140
55th nearest neighbor distance: 7.442, number of neighbors: 104
56th nearest neighbor distance: 7.517, number of neighbors: 116
57th nearest neighbor distance: 7.658, number of neighbors: 180
58th nearest neighbor distance: 7.681, number of neighbors: 380
59th nearest neighbor distance: 7.724, number of neighbors: 280
60th nearest neighbor distance: 7.764, number of neighbors: 152
61th nearest neighbor distance: 7.805, number of neighbors: 104
62th nearest neighbor distance: 7.836, number of neighbors: 164
63th nearest neighbor distance: 7.910, number of neighbors: 28
64th nearest neighbor distance: 8.075, number of neighbors: 192
65th nearest neighbor distance: 8.141, number of neighbors: 140
66th nearest neighbor distance: 8.156, number of neighbors: 198
67th nearest neighbor distance: 8.217, number of neighbors: 144
68th nearest neighbor distance: 8.234, number of neighbors: 58
69th nearest neighbor distance: 8.263, number of neighbors: 154
70th nearest neighbor distance: 8.352, number of neighbors: 240
71th nearest neighbor distance: 8.368, number of neighbors: 122
72th nearest neighbor distance: 8.381, number of neighbors: 92
73th nearest neighbor distance: 8.418, number of neighbors: 264
74th nearest neighbor distance: 8.422, number of neighbors: 60
75th nearest neighbor distance: 8.487, number of neighbors: 168
76th nearest neighbor distance: 8.528, number of neighbors: 220
77th nearest neighbor distance: 8.532, number of neighbors: 84
78th nearest neighbor distance: 8.567, number of neighbors: 136
79th nearest neighbor distance: 8.604, number of neighbors: 88
80th nearest neighbor distance: 8.632, number of neighbors: 196
81th nearest neighbor distance: 8.637, number of neighbors: 192
82th nearest neighbor distance: 8.638, number of neighbors: 180
83th nearest neighbor distance: 8.641, number of neighbors: 44
84th nearest neighbor distance: 8.669, number of neighbors: 100
85th nearest neighbor distance: 8.769, number of neighbors: 108
86th nearest neighbor distance: 8.782, number of neighbors: 54
87th nearest neighbor distance: 8.863, number of neighbors: 56
88th nearest neighbor distance: 8.908, number of neighbors: 102
89th nearest neighbor distance: 8.922, number of neighbors: 100
90th nearest neighbor distance: 8.946, number of neighbors: 168
91th nearest neighbor distance: 9.006, number of neighbors: 152
92th nearest neighbor distance: 9.068, number of neighbors: 416
93th nearest neighbor distance: 9.089, number of neighbors: 90
94th nearest neighbor distance: 9.157, number of neighbors: 288
95th nearest neighbor distance: 9.165, number of neighbors: 40
96th nearest neighbor distance: 9.280, number of neighbors: 60
97th nearest neighbor distance: 9.286, number of neighbors: 88
98th nearest neighbor distance: 9.324, number of neighbors: 128
99th nearest neighbor distance: 9.395, number of neighbors: 128
100th nearest neighbor distance: 9.419, number of neighbors: 220
101th nearest neighbor distance: 9.428, number of neighbors: 76
